,currency,order_type,original_price,target_price,found,match_count,amount,executedAt
0,USD,매도,1450.9,1454.9,True,1410,3010.0,2025-02-11 00:56:01
1,USD,매도,1450.9,1454.9,True,1410,33.0,2025-02-11 00:56:01
2,USD,매수,1452.8,1448.8,True,3343,1925.0,2025-02-11 09:07:49
3,USD,매도,1453.25,1457.25,True,168,404.0,2025-02-11 09:14:36
4,USD,매수,1453.65,1449.65,True,3841,1000.0,2025-02-11 10:36:03
5,USD,매수,1455.0,1451.0,True,4581,404.0,2025-02-11 12:17:42
6,USD,매도,1453.75,1457.75,True,84,204.0,2025-02-11 13:37:18
7,USD,매도,1453.75,1457.75,True,84,2036.0,2025-02-11 14:52:10
8,USD,매수,1452.25,1448.25,True,3021,404.0,2025-02-11 15:28:25
9,USD,매도,1453.0,1457.0,True,194,404.0,2025-02-11 16:36:45
10,USD,매수,1453.1,1449.1,True,4775,404.0,2025-02-11 20:01:09
11,USD,매수,1453.3,1449.3,True,5132,68.0,2025-02-11 22:19:55
12,USD,매수,1455.15,1451.15,True,5854,922.0,2025-02-11 22:31:00
13,USD,매수,1455.15,1451.15,True,5854,10.0,2025-02-11 22:31:00
14,USD,매수,1455.15,1451.15,True,5854,33.0,2025-02-11 22:31:00
15,USD,매수,1455.15,1451.15,True,5862,1671.0,2025-02-11 22:34:52
16,USD,매수,1454.85,1450.85,True,5900,365.0,2025-02-12 00:01:20
17,USD,매도,1454.19,1458.19,True,51,703.0,2025-02-12 00:32:01
18,USD,매도,1453.8,1457.8,True,82,33.0,2025-02-12 00:36:01
19,USD,매도,1453.8,1457.8,True,82,297.0,2025-02-12 00:36:01
20,USD,매수,1450.8,1446.8,True,3915,319.0,2025-02-12 02:14:40
21,USD,매수,1450.8,1446.8,True,3915,493.0,2025-02-12 02:14:40
22,USD,매수,1450.1,1446.1,True,3872,1000.0,2025-02-12 02:14:49
23,USD,매수,1449.8,1445.8,True,3867,1000.0,2025-02-12 02:15:05
24,USD,매수,1449.3,1445.3,True,3867,188.0,2025-02-12 02:15:23
25,USD,매수,1454.45,1450.45,True,7003,3357.0,2025-02-12 10:26:03
26,USD,매수,1453.95,1449.95,True,6798,33.0,2025-02-12 10:27:01
27,USD,매수,1454.15,1450.15,True,6881,3000.0,2025-02-12 10:31:18
28,USD,매도,1449.95,1453.95,True,1504,33.0,2025-02-12 11:06:03
29,USD,매수,1451.0,1447.0,True,5133,33.0,2025-02-12 12:21:00
30,USD,매도,1451.95,1455.95,True,330,2038.0,2025-02-12 12:28:45
31,USD,매수,1453.1,1449.1,True,6946,2038.0,2025-02-12 14:07:07
32,USD,매도,1453.34,1457.34,True,164,10.0,2025-02-12 15:25:17
33,USD,매수,1453.5,1449.5,True,7970,643.0,2025-02-12 21:23:50
34,USD,매도,1456.85,1460.85,False,0,32.0,2025-02-12 23:26:00
35,USD,매수,1456.8,1452.8,True,9142,837.0,2025-02-12 23:47:01
36,USD,매수,1457.2,1453.2,True,9335,163.0,2025-02-12 23:51:00
37,USD,매도,1455.95,1459.95,False,0,406.0,2025-02-13 01:52:01
38,USD,매수,1453.25,1449.25,True,9440,3000.0,2025-02-13 10:20:15
39,USD,매도,1451.45,1455.45,False,0,700.0,2025-02-13 12:21:00
40,USD,매도,1449.44,1453.44,True,750,248.0,2025-02-13 13:07:25
41,USD,매도,1448.5,1452.5,True,847,2043.0,2025-02-13 13:30:38
42,USD,매도,1448.25,1452.25,True,769,1000.0,2025-02-13 14:51:00
43,USD,매도,1448.25,1452.25,True,769,700.0,2025-02-13 14:51:00
44,USD,매도,1447.55,1451.55,True,803,2072.0,2025-02-13 15:36:00
45,USD,매수,1449.7,1445.7,True,8506,700.0,2025-02-13 16:56:01
46,USD,매수,1449.7,1445.7,True,8507,2043.0,2025-02-13 16:56:46
47,USD,매도,1449.3,1453.3,True,73,1956.0,2025-02-13 19:53:08
48,USD,매도,1449.3,1453.3,True,5,399.0,2025-02-13 20:31:42
49,USD,매수,1449.65,1445.65,True,8977,399.0,2025-02-13 20:52:22
50,USD,매도,1450.75,1454.75,False,0,399.0,2025-02-13 21:16:05
51,USD,매수,1450.8,1446.8,True,9118,399.0,2025-02-13 21:38:12
52,USD,매도,1452.2,1456.2,False,0,398.0,2025-02-13 22:31:25
53,USD,매수,1451.3,1447.3,True,9361,303.0,2025-02-13 23:16:17
54,USD,매수,1451.3,1447.3,True,9361,95.0,2025-02-13 23:16:17
55,USD,매수,1451.7,1447.7,True,9515,1956.0,2025-02-13 23:49:45
56,USD,매도,1448.45,1452.45,True,12,399.0,2025-02-14 00:47:54
57,USD,매도,1443.0,1447.0,True,1019,2051.0,2025-02-14 09:07:25
58,USD,매수,1442.7,1438.7,True,150,3000.0,2025-02-14 09:51:04
59,USD,매도,1443.65,1447.65,True,877,700.0,2025-02-14 10:26:04
60,USD,매도,1442.45,1446.45,True,228,1040.0,2025-02-14 16:06:01
61,USD,매도,1442.45,1446.45,True,228,391.0,2025-02-14 16:06:01
62,USD,매도,1442.19,1446.19,True,225,69.0,2025-02-14 16:07:02
63,USD,매도,1440.55,1444.55,True,239,700.0,2025-02-14 17:01:05
64,USD,매도,1440.8,1444.8,True,64,100.0,2025-02-14 22:23:30
65,USD,매도,1439.35,1443.35,True,1509,100.0,2025-02-14 23:38:42
66,USD,매도,1441.25,1445.25,True,36,100.0,2025-02-15 09:10:33
67,USD,매도,1441.35,1445.35,True,22,37.0,2025-02-15 12:46:20
68,USD,매도,1441.25,1445.25,True,36,347.0,2025-02-16 09:44:33
69,USD,매수,1442.25,1438.25,True,805,100.0,2025-02-17 09:20:30
70,USD,매수,1439.45,1435.45,True,98,1000.0,2025-02-17 10:56:59
71,USD,매수,1439.3,1435.3,True,54,1051.0,2025-02-17 10:57:34
72,USD,매수,1442.05,1438.05,True,1400,100.0,2025-02-17 15:11:40
73,USD,매수,1442.15,1438.15,True,1553,1000.0,2025-02-17 16:01:04
74,USD,매수,1441.5,1437.5,True,1149,100.0,2025-02-17 16:28:37
75,USD,매수,1443.2,1439.2,True,2468,1389.0,2025-02-17 16:51:04
76,USD,매수,1444.0,1440.0,True,3441,700.0,2025-02-17 18:46:04
